epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
6,0.9746893048286438,0.9944038391113281,196.0,362.0,0.07938822358846664,0.9676554799079895,0.9822238087654114,10658.0,10830.0,0.9488203525543213,0.9837735295295715,88.0,53.0,0.17228984832763672,0.9609432816505432,0.9367815852165222,1310.0,1304.0
7,0.9786356091499329,0.9967141151428223,185.0,286.0,0.06208119913935661,0.9742944240570068,0.9832199811935425,10735.0,10840.0,0.9506351947784424,0.9771775603294373,37.0,99.0,0.21936818957328796,0.9319119453430176,0.9734195470809937,1264.0,1355.0
8,0.9853034615516663,0.9979819655418396,139.0,185.0,0.04448895901441574,0.9832866787910461,0.9873899817466736,10838.0,10884.0,0.9426497220993042,0.9700050950050354,26.0,132.0,0.336415559053421,0.9117056727409363,0.9812815189361572,1234.0,1363.0
9,0.9882065057754517,0.9987378716468811,113.0,147.0,0.03550921753048897,0.9867076873779297,0.9897505640983582,10874.0,10912.0,0.9473684430122375,0.9794046878814697,78.0,67.0,0.20821617543697357,0.9514844417572021,0.943965494632721,1296.0,1314.0
0,0.9223442077636719,0.9620007872581482,748.0,964.0,0.2297891229391098,0.9142425060272217,0.9321541786193848,10057.0,10277.0,0.8464609980583191,0.9493088722229004,14.0,409.0,0.38846972584724426,0.7717633843421936,0.989978551864624,949.0,1383.0
1,0.9427560567855835,0.9738014340400696,488.0,774.0,0.18164633214473724,0.9315710663795471,0.9557369351387024,10247.0,10537.0,0.8551723957061768,0.9544950723648071,13.0,386.0,0.3826392889022827,0.780930757522583,0.9906407594680786,980.0,1376.0
2,0.9510115385055542,0.9817148447036743,417.0,663.0,0.15246093273162842,0.9411660432815552,0.9621700048446655,10360.0,10606.0,0.9437386393547058,0.9769368171691895,27.0,128.0,0.18071138858795166,0.9140939712524414,0.9805615544319153,1238.0,1362.0
3,0.9541413187980652,0.98225337266922,366.0,645.0,0.14456956088542938,0.9429405331611633,0.966802716255188,10376.0,10659.0,0.9571687579154968,0.9821249842643738,46.0,72.0,0.15347343683242798,0.9494026899337769,0.9670723080635071,1286.0,1351.0
4,0.9586319327354431,0.9860158562660217,321.0,591.0,0.12888947129249573,0.9476759433746338,0.970884382724762,10430.0,10704.0,0.959709644317627,0.9843611121177673,42.0,69.0,0.14246132969856262,0.9515109062194824,0.9699140191078186,1290.0,1354.0
5,0.9608092308044434,0.9878518581390381,300.0,564.0,0.12010801583528519,0.9500398635864258,0.9727891087532043,10457.0,10725.0,0.9506351947784424,0.9782658219337463,70.0,66.0,0.18153324723243713,0.9525862336158752,0.9498567581176758,1293.0,1326.0
6,0.9584958553314209,0.9861008524894714,332.0,583.0,0.12996499240398407,0.9483018517494202,0.9698893427848816,10437.0,10694.0,0.9506351947784424,0.970493495464325,32.0,104.0,0.18926537036895752,0.9291552901268005,0.9770773649215698,1255.0,1364.0
7,0.9648462533950806,0.9892172813415527,246.0,529.0,0.11146506667137146,0.953218936920166,0.9776870608329773,10492.0,10779.0,0.9513611793518066,0.9861583709716797,37.0,97.0,0.14199669659137726,0.9331955909729004,0.9734195470809937,1266.0,1355.0
8,0.9693368673324585,0.990382730960846,194.0,482.0,0.09920544922351837,0.9573941230773926,0.9824036359786987,10539.0,10831.0,0.9441016316413879,0.9808046221733093,95.0,59.0,0.20850437879562378,0.9563931822776794,0.9316054582595825,1307.0,1294.0
9,0.9658441543579102,0.9896016120910645,227.0,526.0,0.10572372376918793,0.9535499811172485,0.9794104099273682,10495.0,10798.0,0.9451905488967896,0.9778221845626831,29.0,122.0,0.26342397928237915,0.9176232218742371,0.979106605052948,1245.0,1359.0
0,0.96782386302948,0.9897752404212952,233.0,565.0,0.09215231239795685,0.9556688666343689,0.9812293648719788,11823.0,12180.0,0.9390199780464172,0.9767193794250488,110.0,58.0,0.23419873416423798,0.956845223903656,0.9212034344673157,1301.0,1286.0
1,0.969654381275177,0.9914487600326538,199.0,470.0,0.09398828446865082,0.9583849906921387,0.9819468259811401,10553.0,10824.0,0.7607985734939575,0.8583549857139587,9.0,650.0,5.070614337921143,0.6810598373413086,0.9935576319694519,708.0,1388.0
2,0.9704254865646362,0.9929209351539612,223.0,429.0,0.08965302258729935,0.9617953300476074,0.9797695875167847,10594.0,10800.0,0.9513611793518066,0.9787527322769165,70.0,64.0,0.1919800043106079,0.9539237022399902,0.9498208165168762,1296.0,1325.0
3,0.9755511283874512,0.9942910075187683,165.0,374.0,0.07650354504585266,0.9667022824287415,0.9850313067436218,10649.0,10858.0,0.9426497220993042,0.9819665551185608,96.0,62.0,0.18188026547431946,0.9541758894920349,0.9307858943939209,1306.0,1291.0
4,0.968883216381073,0.992338240146637,218.0,468.0,0.09348110854625702,0.9584922194480896,0.9802267551422119,10553.0,10807.0,0.9016333818435669,0.9792371392250061,232.0,39.0,0.2634506821632385,0.9673640131950378,0.8328530192375183,1328.0,1156.0
5,0.9732377529144287,0.9942499995231628,204.0,386.0,0.07980997860431671,0.9655603170394897,0.9814983010292053,10634.0,10822.0,0.9506351947784424,0.981378436088562,75.0,61.0,0.7902724146842957,0.9558929800987244,0.9463135004043579,1297.0,1322.0
6,0.9817653894424438,0.9966786503791809,140.0,262.0,0.057755980640649796,0.976498007774353,0.9873027205467224,10758.0,10886.0,0.9368420839309692,0.9776260852813721,110.0,64.0,1.1090315580368042,0.9526276588439941,0.9212598204612732,1294.0,1287.0
